Episode 1: reward: 500.000, steps: 500
Episode 2: reward: 500.000, steps: 500
Episode 3: reward: 500.000, steps: 500
Episode 4: reward: 500.000, steps: 500
Episode 5: reward: 500.000, steps: 500
Episode 6: reward: 500.000, steps: 500
Episode 7: reward: 500.000, steps: 500
Episode 8: reward: 500.000, steps: 500
Episode 9: reward: 500.000, steps: 500
Episode 10: reward: 500.000, steps: 500
Episode 11: reward: 500.000, steps: 500
Episode 12: reward: 500.000, steps: 500
Episode 13: reward: 500.000, steps: 500
Episode 14: reward: 500.000, steps: 500
Episode 15: reward: 500.000, steps: 500
Episode 16: reward: 500.000, steps: 500
Episode 17: reward: 500.000, steps: 500
Episode 18: reward: 500.000, steps: 500
Episode 19: reward: 500.000, steps: 500
Episode 20: reward: 500.000, steps: 500
Episode 21: reward: 500.000, steps: 500
Episode 22: reward: 500.000, steps: 500
Episode 23: reward: 500.000, steps: 500
Episode 24: reward: 500.000, steps: 500
Episode 25: reward: 500.000, steps: 500
Episode 26: reward: 500.000, steps: 500
Episode 27: reward: 500.000, steps: 500
Episode 28: reward: 500.000, steps: 500
Episode 29: reward: 500.000, steps: 500
Episode 30: reward: 500.000, steps: 500
Episode 31: reward: 500.000, steps: 500
Episode 32: reward: 500.000, steps: 500
Episode 33: reward: 500.000, steps: 500
Episode 34: reward: 500.000, steps: 500
Episode 35: reward: 500.000, steps: 500
Episode 36: reward: 500.000, steps: 500
Episode 37: reward: 500.000, steps: 500
Episode 38: reward: 500.000, steps: 500
Episode 39: reward: 500.000, steps: 500
Episode 40: reward: 500.000, steps: 500
Episode 41: reward: 500.000, steps: 500
Episode 42: reward: 500.000, steps: 500
Episode 43: reward: 500.000, steps: 500
Episode 44: reward: 500.000, steps: 500
Episode 45: reward: 500.000, steps: 500
Episode 46: reward: 500.000, steps: 500
Episode 47: reward: 500.000, steps: 500
Episode 48: reward: 500.000, steps: 500
Episode 49: reward: 500.000, steps: 500
Episode 50: reward: 500.000, steps: 500
Episode 51: reward: 500.000, steps: 500
Episode 52: reward: 500.000, steps: 500
Episode 53: reward: 500.000, steps: 500
Episode 54: reward: 500.000, steps: 500
Episode 55: reward: 500.000, steps: 500
Episode 56: reward: 500.000, steps: 500
Episode 57: reward: 500.000, steps: 500
Episode 58: reward: 500.000, steps: 500
Episode 59: reward: 500.000, steps: 500
Episode 60: reward: 500.000, steps: 500
Episode 61: reward: 500.000, steps: 500
Episode 62: reward: 500.000, steps: 500
Episode 63: reward: 500.000, steps: 500
Episode 64: reward: 500.000, steps: 500
Episode 65: reward: 500.000, steps: 500
Episode 66: reward: 500.000, steps: 500
Episode 67: reward: 500.000, steps: 500
Episode 68: reward: 500.000, steps: 500
Episode 69: reward: 500.000, steps: 500
Episode 70: reward: 500.000, steps: 500
Episode 71: reward: 500.000, steps: 500
Episode 72: reward: 500.000, steps: 500
Episode 73: reward: 500.000, steps: 500
Episode 74: reward: 500.000, steps: 500
Episode 75: reward: 500.000, steps: 500
Episode 76: reward: 500.000, steps: 500
Episode 77: reward: 500.000, steps: 500
Episode 78: reward: 500.000, steps: 500
Episode 79: reward: 500.000, steps: 500
Episode 80: reward: 500.000, steps: 500
Episode 81: reward: 500.000, steps: 500
Episode 82: reward: 500.000, steps: 500
Episode 83: reward: 500.000, steps: 500
Episode 84: reward: 500.000, steps: 500
Episode 85: reward: 500.000, steps: 500
Episode 86: reward: 500.000, steps: 500
Episode 87: reward: 500.000, steps: 500
Episode 88: reward: 500.000, steps: 500
Episode 89: reward: 500.000, steps: 500
Episode 90: reward: 500.000, steps: 500
Episode 91: reward: 500.000, steps: 500
Episode 92: reward: 500.000, steps: 500
Episode 93: reward: 500.000, steps: 500
Episode 94: reward: 500.000, steps: 500
Episode 95: reward: 500.000, steps: 500
Episode 96: reward: 500.000, steps: 500
Episode 97: reward: 500.000, steps: 500
Episode 98: reward: 500.000, steps: 500
Episode 99: reward: 500.000, steps: 500
Episode 100: reward: 500.000, steps: 500
Episode 101: reward: 500.000, steps: 500
Episode 102: reward: 500.000, steps: 500
Episode 103: reward: 500.000, steps: 500
Episode 104: reward: 500.000, steps: 500
Episode 105: reward: 500.000, steps: 500
Episode 106: reward: 500.000, steps: 500
Episode 107: reward: 500.000, steps: 500
Episode 108: reward: 500.000, steps: 500
Episode 109: reward: 500.000, steps: 500
Episode 110: reward: 500.000, steps: 500
Episode 111: reward: 500.000, steps: 500
Episode 112: reward: 500.000, steps: 500
Episode 113: reward: 500.000, steps: 500
Episode 114: reward: 500.000, steps: 500
Episode 115: reward: 500.000, steps: 500
Episode 116: reward: 500.000, steps: 500
Episode 117: reward: 500.000, steps: 500
Episode 118: reward: 500.000, steps: 500
Episode 119: reward: 500.000, steps: 500
Episode 120: reward: 500.000, steps: 500
Episode 121: reward: 500.000, steps: 500
Episode 122: reward: 500.000, steps: 500
Episode 123: reward: 500.000, steps: 500
Episode 124: reward: 500.000, steps: 500
Episode 125: reward: 500.000, steps: 500
Episode 126: reward: 500.000, steps: 500
Episode 127: reward: 500.000, steps: 500
Episode 128: reward: 500.000, steps: 500
Episode 129: reward: 500.000, steps: 500
Episode 130: reward: 500.000, steps: 500
Episode 131: reward: 500.000, steps: 500
Episode 132: reward: 500.000, steps: 500
Episode 133: reward: 500.000, steps: 500
Episode 134: reward: 500.000, steps: 500
Episode 135: reward: 500.000, steps: 500
Episode 136: reward: 500.000, steps: 500
Episode 137: reward: 500.000, steps: 500
Episode 138: reward: 500.000, steps: 500
Episode 139: reward: 500.000, steps: 500
Episode 140: reward: 500.000, steps: 500
Episode 141: reward: 500.000, steps: 500
Episode 142: reward: 500.000, steps: 500
Episode 143: reward: 500.000, steps: 500
Episode 144: reward: 500.000, steps: 500
Episode 145: reward: 500.000, steps: 500
Episode 146: reward: 500.000, steps: 500
Episode 147: reward: 500.000, steps: 500
Episode 148: reward: 500.000, steps: 500
Episode 149: reward: 500.000, steps: 500
Episode 150: reward: 500.000, steps: 500
